Case_ID,PolicyOutcome,PolicyRule,HazardConcepts,ConditionConcepts,InformationState
GT-001,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-002,ACT+ESCALATE,P03_CRITICAL_HAZARD,GAS_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-003,ACT+ESCALATE,P03_CRITICAL_HAZARD,WATER_ELECTRICAL_CONTACT,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-004,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-005,ACT+ESCALATE,P03_CRITICAL_HAZARD,WATER_ELECTRICAL_CONTACT,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,INSUFFICIENT_AFTER_ASK
GT-006,ESCALATE,P08_INSUFFICIENT_AFTER_ASK,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,INSUFFICIENT_AFTER_ASK
GT-007,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-008,ACT+ESCALATE,P03_CRITICAL_HAZARD,UNCONTROLLED_WATER,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-009,ACT,P05_SECURITY_SILENCE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|SECURITY_STATUS_UNRESOLVED,NO_RESPONSE_AFTER_ASK
GT-010,ESCALATE,P13_MATERIAL_MOISTURE_DAMAGE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT|MATERIAL_MOISTURE_DAMAGE,SUFFICIENT
GT-011,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-012,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-013,ACT+ESCALATE,P03_CRITICAL_HAZARD,WATER_ELECTRICAL_CONTACT,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-014,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-015,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-016,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-017,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-018,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-019,ESCALATE,P02_UNKNOWN_UNIT,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-020,ASK,P05A_SECURITY_CLARIFICATION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|SECURITY_STATUS_UNRESOLVED,NEEDS_CLARIFICATION
GT-021,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-022A,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-022B,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-023,ACT+ESCALATE,P01_UNKNOWN_UNIT_CRITICAL,ACTIVE_FIRE_OR_SMOKE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-024,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-025,ESCALATE,P10_REPLACEMENT_UPGRADE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT|REPLACEMENT_OR_UPGRADE,SUFFICIENT
GT-026,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-027,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-028,AWAITING,P06_NONSAFETY_SILENCE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,NO_RESPONSE_AFTER_ASK
GT-029,ACT+ESCALATE,P11_PROPERTY_DAMAGE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT|PROPERTY_DAMAGE,SUFFICIENT
GT-030,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-031,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-032,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-033,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-034,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|PEST_ACTIVITY,SUFFICIENT
GT-035,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
